"cvegeo","frec"
"090100001174A039",1
"0900200010504010",1
"0900800010226011",1
"0901000010845015",1
"0900200010472007",1
"0900500013093028",2
"0901200010483008",1
"0901100010113007",1
"0900200010449019",1
"0901300010654008",1
"0900400010301039",1
"0901400011005011",1
"0900400200246034",2
"0900500011951016",1
"0900300011497021",1
"0900200010769002",1
"0900500010898027",1
"0900700012600008",2
"0901300010160014",1
"090070001294A025",1
"090040001041A039",1
"0900700010943014",2
"0900300011020004",1
"0900700015198021",1
"0900700012846030",1
"0901300010353011",2
"0901400010435004",1
"0901300011188041",2
"0901200012051009",1
"0901000011010006",1
"0901400010736009",1
"090070001351A026",1
"0901100010575012",1
"0900700010619019",2
"0900300011641001",1
"0900600010895013",1
"0901000010328012",1
"0900700010784001",1
"0900500011843014",1
"0901500011110023",1
"0900700012920001",2
"0900300010183024",1
"0901000010578006",1
"0901600010779006",1
"090070001508A002",1
"0900700013806004",1
"0901600010158016",1
"0900300010427018",1
"0901500010540015",2
"0901100010378013",1
"0900300011016010",1
"0900500011129025",1
"090120001020A008",1
"0901600010285008",1
"0900200010631025",1
"0901300011385024",2
"0901000010027001",1
"0901400010187005",1
"0900500010972017",1
"0901300010669041",1
"0900800010349064",2
"0900300010450004",1
"0900700010801009",1
"0901700011327008",1
"090070001351A023",1
"0901100010274009",1
"0901500011498008",1
"0900700014236019",2
"0900700011227006",1
"0900500011909019",1
"090160001050A009",1
"0900200010542012",1
"0901200011142001",1
"090070001337A016",1
"0900200010398008",1
"0900700010411006",2
"0901600010730001",1
"0901200010642005",1
"0900300010323021",1
"0900700014240025",1
"0901400010134005",1
"0900900240219026",2
"0900700010638016",1
"0900700010746036",1
"0900900010312007",1
"0900300010709010",1
"0901100010325009",1
"0900600010359019",1
"0901500011178007",1
"0901300011154014",3
"0900500011932017",1
"0901300010211007",1
"0901700011238013",1
"0901000011773021",1
"0901000010864035",1
"0900700011091016",2
"090050001060A012",1
"0900700010464012",1
"0901000010949010",1
"0900700011640006",1
"0900500012860001",3
"0900200010097015",1
"0900600011037019",1
"0900500011824027",1
"0901400010609005",2
"090140001083A007",1
"090060001001A003",1
"0900200010203003",2
"0901000010296006",2
"0900700015179008",1
"0901400010399014",1
"0901000011970011",1
"0900200010701004",1
"0901300010508001",1
"0900500012080001",2
"0901500011144016",1
"0900400010231022",1
"0901000011294009",1
"0901100240734030",1
"0901000010915009",1
"0900200011038001",1
"0900500011468001",1
"0900700012901041",1
"0901200011000010",1
"0900300011232007",3
"0900300011336018",1
"0901000010671030",1
"0900200010434001",1
"0900700011246003",1
"0900500011006004",1
"0901100011249004",1
"0900500010559007",2
"0901200010464012",1
"0901000012339011",1
"0901100010359012",1
"0901600010980003",1
"0901000010987003",1
"0900200010472003",1
"0900500011218020",1
"0900600010359007",2
"0901200010869008",1
"0900400010405015",1
"0901200010430009",1
"0901700010579014",1
"0901400010242005",2
"0901100010058001",1
"0901700011280004",1
"0900700013721005",1
"0900800010264014",1
"0900700014880015",1
"090170001009A025",1
"0900700015060014",1
"0901200012441035",1
"090120001223A023",1
"0900500013089013",2
"0900700011706002",1
"0901200010182032",1
"0900300010713033",1
"0900300011745010",1
"0901200011072004",1
"090050001060A002",1
"0900500010370003",1
"0901300010137007",1
"0900700014166012",1
"0901500010610012",2
"0901000010474015",1
"0900700014876017",1
"0900600010490001",1
"0900700010854021",1
"0901600010285004",1
"0900700013806008",1
"0901300011027020",1
"0900300011247012",1
"0901500011214018",3
"0901700010865014",1
"0900500012146004",1
"0901200012013015",1
"0900700011706060",1
"0901500010589003",1
"0900200010928006",1
"0900700011015017",1
"0901100211003043",1
"0901200010182002",1
"0901000010544011",1
"0900600010626013",1
"0900500012184014",1
"0901100010378017",1
"0900200010044001",1
"0900700013539020",1
"090110026097A004",1
"0901600010247012",1
"0900500012305019",3
"0900700011509021",1
"0901500010080008",1
"0901400010929022",1
"0901400010331017",1
"0900500011896022",1
"0900300010022008",1
"0900700014664033",1
